TimeStamp,N_sum_laimburg,irrig,et_sbr,wb_sbr
10/03/2018,,,0.6,0.0
11/03/2018,20.9,,0.6,0.0
12/03/2018,1.6,,0.7,0.0
13/03/2018,,,0.9,0.0
14/03/2018,,,1.1,0.0
15/03/2018,14.5,,0.8,0.0
16/03/2018,6.5,,1.0,0.0
17/03/2018,2.8,,0.9,0.0
18/03/2018,2.4,,0.9,0.0
19/03/2018,5.3,,0.8,0.0
20/03/2018,0.3,,1.3,0.0
21/03/2018,,,1.5,0.0
22/03/2018,,,1.4,0.0
23/03/2018,,,1.7,0.0
24/03/2018,,,1.2,0.0
25/03/2018,,,1.4,0.0
26/03/2018,,,1.3,0.0
27/03/2018,,,1.7,0.0
28/03/2018,,,1.9,0.0
29/03/2018,3.2,,1.7,0.0
30/03/2018,11.8,,1.8,0.0
31/03/2018,38.9,,1.7,0.0
01/04/2018,,,2.2,0.0
02/04/2018,,16.0,2.4,0.0
03/04/2018,1.3,,2.0,0.0
04/04/2018,19.8,,1.9,0.0
05/04/2018,0.3,,2.4,0.0
06/04/2018,,,2.6,0.0
07/04/2018,,,2.7,0.0
08/04/2018,,,2.9,0.0
09/04/2018,0.5,,2.7,0.0
10/04/2018,9.7,,2.9,0.0
11/04/2018,4.2,,2.6,0.0
12/04/2018,19.0,,2.4,0.0
13/04/2018,17.2,,2.9,0.0
14/04/2018,,,3.1,0.0
15/04/2018,0.2,,2.9,0.0
16/04/2018,6.1,,3.5,0.0
17/04/2018,,,3.7,0.0
18/04/2018,,,4.0,0.0
19/04/2018,,,3.9,0.0
20/04/2018,,,4.1,0.0
21/04/2018,,,4.1,0.0
22/04/2018,,,4.2,0.0
23/04/2018,,,4.3,0.0
24/04/2018,,,4.5,0.0
25/04/2018,,,4.5,0.0
26/04/2018,,,4.4,0.0
27/04/2018,,,4.4,0.0
28/04/2018,,,4.5,0.0
29/04/2018,0.2,,4.3,0.0
30/04/2018,4.1,,4.8,0.0
01/05/2018,,,4.1,0.0
02/05/2018,10.4,,3.9,0.0
03/05/2018,7.7,,4.4,0.0
04/05/2018,1.6,,4.2,0.0
05/05/2018,0.2,,4.3,0.0
06/05/2018,3.3,,5.1,0.0
07/05/2018,0.3,,4.9,0.0
08/05/2018,,,4.7,0.0
09/05/2018,5.6,,3.9,0.0
10/05/2018,1.2,,4.4,0.0
11/05/2018,0.1,,4.1,0.0
12/05/2018,,,4.3,0.0
13/05/2018,1.1,,4.5,0.0
14/05/2018,1.0,,3.3,0.0
15/05/2018,0.4,,3.3,0.0
16/05/2018,1.5,,4.4,0.0
17/05/2018,6.7,,4.7,0.0
18/05/2018,0.3,,4.9,0.0
19/05/2018,,,4.3,0.0
20/05/2018,0.4,,4.1,0.0
21/05/2018,9.0,,4.7,0.0
22/05/2018,0.1,,3.7,0.0
23/05/2018,2.4,,4.4,0.0
24/05/2018,3.5,,4.8,0.0
25/05/2018,,,5.8,0.0
26/05/2018,,,5.4,0.0
27/05/2018,3.5,,5.1,0.0
28/05/2018,0.8,,5.1,0.0
29/05/2018,12.1,,4.9,0.0
30/05/2018,,,5.3,0.0
31/05/2018,0.1,,5.1,0.0
01/06/2018,,,5.2,0.0
02/06/2018,0.1,,5.1,0.0
03/06/2018,,,5.2,0.0
04/06/2018,3.9,,4.9,0.0
05/06/2018,,,5.6,0.0
06/06/2018,,,5.5,0.0
07/06/2018,6.4,,4.7,0.0
08/06/2018,8.2,,5.3,0.0
09/06/2018,,,5.8,0.0
10/06/2018,,,5.8,0.0
11/06/2018,,,6.3,0.0
12/06/2018,0.3,,5.0,0.0
13/06/2018,9.1,,4.1,0.0
14/06/2018,,,6.0,0.0
15/06/2018,,,6.3,0.0
16/06/2018,,,6.0,0.0
17/06/2018,,,6.7,0.0
18/06/2018,,,6.3,0.0
19/06/2018,0.2,,7.1,0.0
20/06/2018,,,3.7,0.0
21/06/2018,,,3.6,0.0
22/06/2018,,,3.7,0.0
23/06/2018,,,3.7,0.0
24/06/2018,1.0,,3.6,0.0
25/06/2018,,,3.7,0.0
26/06/2018,,,3.6,1.4
27/06/2018,,,3.9,5.2
28/06/2018,,,3.2,8.4
29/06/2018,,,3.3,11.7
30/06/2018,,,3.6,15.3
01/07/2018,,,4.0,19.3
02/07/2018,,,4.1,23.5
03/07/2018,20.8,,3.6,6.2
04/07/2018,,24.0,3.1,0.0
05/07/2018,8.5,,3.4,0.0
06/07/2018,0.4,,3.5,0.0
07/07/2018,,,3.2,0.0
08/07/2018,,,3.0,0.0
09/07/2018,,,6.2,0.0
10/07/2018,10.8,,5.4,0.0
11/07/2018,0.1,,5.2,0.0
12/07/2018,2.1,,5.3,0.0
13/07/2018,,18.0,5.6,0.0
14/07/2018,0.8,,5.8,0.0
15/07/2018,11.8,,5.6,0.0
16/07/2018,0.9,,5.2,0.0
17/07/2018,,,5.6,0.0
